Base_normalized;Atrial_Side_normalized
0.99591;0.98024
0.99463;0.93716
0.99195;0.91352
0.99021;0.96841
0.98828;0.99081
0.98825;0.85177
0.98517;0.79049
0.98494;0.81871
0.98392;0.92968
0.98347;0.85065
0.98341;0.95793
0.98194;0.88566
0.98073;0.75204
0.97867;0.80207
0.97688;0.72593
0.97644;0.90375
0.97409;0.95792
0.97153;0.82573
0.97072;0.91635
0.97022;0.51935
0.96998;0.85916
0.9695;0.73098
0.96789;0.8803
0.96654;0.5927
0.96611;0.45496
0.96527;0.80971
0.96523;0.5196
0.96433;0.72505
0.96393;0.47498
0.96337;0.75977
0.96334;0.61135
0.96324;0.89891
0.96155;0.66611
0.96058;0.80751
0.95847;0.95492
0.95803;0.30537
0.95753;0.71496
0.95673;0.3407
0.95665;0.67443
0.95644;0.86801
0.95408;0.96843
0.95317;0.2253
0.95199;0.46281
0.95194;0.71837
0.95182;0.27751
0.95134;0.91611
0.95133;0.80807
0.95072;0.33876
0.94997;0.61424
0.94964;0.29863
0.94951;0.41262
0.94668;0.21858
0.94642;0.68931
0.94625;0.78216
0.94577;0.48496
0.9455;0.14292
0.94499;0.15624
0.94392;0.84845
0.94292;0.58975
0.94175;0.32563
0.94131;0.25389
0.94071;0.93444
0.94014;0.36141
0.9386;0.70821
0.93825;0.09834
0.9382;0.0865
0.93803;0.13487
0.93767;0.87882
0.93519;0.43894
0.93512;0.58132
0.93449;0.35262
0.93444;0.97277
0.93434;0.66598
0.93328;0.215
0.93292;0.11149
0.93197;0.06707
0.93131;0.40025
0.93019;0.30547
0.92984;0.17862
0.92942;0.60632
0.92893;0.67881
0.92738;0.96842
0.92733;0.54315
0.92712;0.10931
0.92604;0.19103
0.92558;0.07092
0.92506;0.7297
0.92444;0.83429
0.92427;0.01584
0.92212;0.51175
0.92208;0.97893
0.92104;0.58154
0.91925;0.15984
0.91861;0.21881
0.91725;0.81741
0.91694;0.75988
0.9153;0.47493
0.91502;0.94336
0.91493;0.05297
0.91455;0.98779
0.91446;0.8769
0.91446;0.34678
0.9138;0.66386
0.91245;0.26623
0.91244;0.00138
0.9114;0.54715
0.9101;0.11347
0.91009;0.58702
0.90905;0.15538
0.90852;0.73668
0.90813;0.87256
0.90451;0.32374
0.90445;0.05382
0.90401;0.97505
0.90311;0.7823
0.90263;0.49781
0.90262;0.88374
0.90004;0.37755
0.89988;0.59942
0.8985;0.00736
0.89796;0.27768
0.89773;0.14439
0.89753;0.07573
0.89711;0.85522
0.89708;0.22892
0.89701;0.78134
0.89482;0.97455
0.89325;0.68557
0.89179;0.7945
0.89141;0.14967
0.89114;0.36853
0.89081;0.32054
0.89044;0.90929
0.89013;0.59584
0.88991;0.84796
0.88972;0.4679
0.88944;0.00441
0.88926;0.05423
0.8885;0.71644
0.88646;0.55301
0.88481;0.82101
0.88476;0.90534
0.8844;0.10225
0.88359;0.16809
0.88321;0.76599
0.88311;0.36795
0.87994;0.03959
0.87982;0.85485
0.87851;0.42701
0.87783;0.31547
0.87701;0.92113
0.87693;0.64696
0.8767;0.00109
0.87626;0.71373
0.8755;0.50718
0.87472;0.75312
0.87364;0.84232
0.87335;0.29946
0.87246;0.20956
0.86991;0.57243
0.86886;0.79222
0.86881;0.72261
0.8676;0.51894
0.86673;0.31716
0.86485;0.12777
0.86451;0.20548
0.86335;0.00388
0.86335;0.46287
0.86238;0.65446
0.86202;0.04391
0.86188;0.83435
0.86045;0.94071
0.85993;0.8541
0.85962;0.09308
0.85933;0.36175
0.85779;0.02717
0.85658;0.78842
0.85643;0.00069
0.85618;0.4873
0.85564;0.41417
0.85559;0.82612
0.85289;0.75917
0.85208;0.07241
0.85154;0.13436
0.85112;0.00174
0.85102;0.66201
0.85088;0.39619
0.85027;0.18126
0.84944;0.9397
0.84941;0.89155
0.84795;0.34672
0.84776;0.07219
0.8473;0.51425
0.84691;0.80318
0.84634;0.05538
0.84496;0.00493
0.84488;0.26552
0.84454;0.18757
0.84441;0.56416
0.84428;0.03024
0.84113;0.13508
0.84049;0.00616
0.84027;0.64559
0.84007;0.07577
0.83838;0.81548
0.8379;0.74534
0.8374;0.04971
0.83677;0.28413
0.83649;0.33201
0.83585;0.56807
0.83562;0.48276
0.83549;0.00204
0.83452;0.95059
0.83386;0.90642
0.83326;0.6932
0.83215;0.2171
0.83206;0.03867
0.83186;0.1548
0.8312;0.08052
0.83023;0.40165
0.82999;0.35016
0.82859;0.28048
0.82697;0.81796
0.82601;0.05044
0.82597;0.16745
0.8251;0.5351
0.82412;0.39924
0.82399;0.01325
0.82311;0.2216
0.82294;0.48622
0.82263;0.44598
0.82216;0.74696
0.82165;0.17648
0.82089;0.89982
0.82006;0.32574
0.81848;0.07668
0.81833;0.84413
0.81814;0.05214
0.81766;0.13314
0.81697;0.02793
0.81667;0.00056
0.81647;0.45211
0.81536;0.7971
0.81528;0.38882
0.81394;0.69833
0.81355;0.97456
0.81305;0.87652
0.81237;0.21329
0.8123;0.63077
0.81115;0.35256
0.81113;0.56397
0.81051;0.13722
0.81049;0.09208
0.80984;0.05695
0.80929;0.19532
0.807;0.47355
0.80562;0.86923
0.80508;0.2656
0.80493;0.11993
0.80455;0.03451
0.80375;0.40569
0.80371;0.94304
0.80367;0.31767
0.80287;0.24461
0.80264;0.68525
0.80198;0.53959
0.80165;0.19087
0.80042;0.11678
0.80036;0.5813
0.7993;0.86122
0.79879;0.09044
0.79864;0.74992
0.79831;0.02959
0.79602;0.93064
0.79551;0.14307
0.79453;0.66514
0.79449;0.02908
0.79358;0.28428
0.79348;0.34119
0.79205;0.01551
0.79198;0.97252
0.79141;0.8772
0.79079;0.73359
0.78959;0.175
0.78914;0.62659
0.78875;0.24622
0.78855;0.12218
0.78809;0.03593
0.78722;0.02117
0.7843;0.02316
0.78426;0.7012
0.78378;0.0046
0.78371;0.11262
0.78306;0.51644
0.78132;0.07709
0.78127;0.50425
0.78065;0.2141
0.78041;0.44778
0.78041;0.10811
0.78033;0.87791
0.77971;0.80246
0.77962;0.31444
0.77941;0.97067
0.77928;0.16915
0.77901;0.60056
0.77875;0.08054
0.77779;0.03376
0.77698;0.22011
0.77585;0.54086
0.77576;0.13658
0.77518;0.43171
0.77477;0.20173
0.77444;0.76583
0.77442;0.36666
0.77382;0.00037
0.77367;0.02273
0.77295;0.71407
0.7728;0.12918
0.77087;0.90485
0.77053;0.2176
0.77052;0.11453
0.77008;0.64067
0.76975;0.59538
0.76935;0.19369
0.76849;0.42265
0.76843;0.30921
0.76607;0.19521
0.76482;0.25754
0.76382;0.96108
0.76361;0.81098
0.76353;0.05676
0.76282;0.65857
0.76262;0.46851
0.76166;0.38637
0.7592;0.33209
0.75908;0.00181
0.75895;0.6122
0.75864;0.30646
0.75796;0.39062
0.75715;0.49362
0.75697;0.16708
0.75609;0.22375
0.75552;0.84555
0.75386;0.32461
0.75352;0.94962
0.75265;0.01083
0.7517;0.132
0.75164;0.44278
0.74864;0.52226
0.74841;0.77951
0.74832;0.20883
0.74772;0.67569
0.74689;0.89208
0.74627;0.413
0.74584;0.52668
0.74544;0.98765
0.74531;0.13711
0.74371;0.00105
0.74362;0.28485
0.74225;0.59693
0.74202;0.07538
0.74167;0.34081
0.74125;0.41918
0.74027;0.78928
0.73948;0.71809
0.73931;0.92466
0.73825;0.24917
0.73811;0.5301
0.73785;0.13369
0.73736;0.85336
0.73692;0.66294
0.73668;0.0158
0.7332;0.27683
0.73304;0.95709
0.73225;0.75897
0.73199;0.09834
0.73018;0.72302
0.72907;0.02055
0.72877;0.86331
0.72852;0.15619
0.72755;0.26062
0.72741;0.32625
0.72693;0.11456
0.7266;0.70148
0.72646;0.50646
0.72611;0.95503
0.72553;0.81883
0.7236;0.0056
0.72232;0.25588
0.72147;0.93173
0.72077;0.13891
0.72076;0.0771
0.7203;0.53875
0.72028;0.8671
0.71972;0.69577
0.71727;0.20043
0.71633;0.84415
0.71611;0.28132
0.71549;0.39232
0.71507;0.67649
0.71436;0.05448
0.71432;0.76857
0.71361;0.00879
0.71163;0.11439
0.7111;0.41319
0.71098;0.33296
0.71095;0.21454
0.71062;0.85047
0.70816;0.70833
0.70811;0.79774
0.70737;0.96708
0.70662;0.05355
0.70392;0.5484
0.70171;0.34412
0.70148;0.90345
0.70082;0.12189
0.70071;0.18502
0.69979;0.76559
0.69915;0.04737
0.69851;0.68181
0.69806;0.28786
0.69512;0.61868
0.69218;0.91743
0.69046;0.03019
0.68986;0.18074
0.68887;0.76389
0.68406;0.58063
0.68192;0.86418
0.68108;0.37105
0.68023;0.30326
0.68006;0.12959
0.67843;0.01967
0.67366;0.29907
0.67251;0.78776
0.67154;0.58291
0.67091;0.98405
0.6692;0.05828
0.66868;0.46559
0.66781;0.21596
0.66683;0.87898
0.66568;0.66597
0.66325;0.1107
0.66235;0.3956
0.66092;0.78093
0.66032;0.30465
0.65977;0.01104
0.65869;0.68314
0.65716;0.23526
0.65681;0.434
0.65662;0.89555
0.6563;0.12924
0.65029;0.08755
0.64771;0.66296
0.6476;0.80045
0.64753;0.33878
0.64624;0.19992
0.64591;0.92266
0.64426;0.23353
0.64338;0.57655
0.64319;0.92391
0.64211;0.06958
0.64146;0.60552
0.64143;0.13293
0.64096;0.22242
0.64083;0.32738
0.63959;0.68401
0.63952;0.0093
0.63949;0.4405
0.63938;0.57792
0.63924;0.89074
0.63688;0.59288
0.63618;0.32636
0.63616;0.45104
0.63588;0.89634
0.63583;0.74436
0.63529;0.83607
0.63479;0.35335
0.63438;0.65098
0.63364;0.91779
0.63335;0.04304
0.63265;0.16208
0.63246;0.25256
0.63212;0.37886
0.6316;0.45882
0.63156;0.76669
0.63125;0.5081
0.63097;0.65885
0.62899;0.91999
0.62856;0.6601
0.62818;0.10766
0.62701;0.07083
0.6268;0.67276
0.62648;0.14349
0.62638;0.48714
0.626;0.6752
0.62582;0.16697
0.62464;0.75108
0.62437;0.34839
0.62392;0.0124
0.6238;0.38853
0.62292;0.25979
0.6228;0.64598
0.62258;0.50388
0.62253;0.23123
0.62217;0.78637
0.62214;0.98299
0.62201;0.31139
0.62191;0.5307
0.62174;0.28258
0.62107;0.6003
0.62096;0.4673
0.62035;0.87584
0.62006;0.09779
0.62004;0.82562
0.61974;0.90247
0.61923;0.19513
0.61845;0.56107
0.61837;0.84283
0.61745;0.00092
0.61672;0.33625
0.61663;0.65985
0.61662;0.02633
0.61628;0.72908
0.61625;0.4782
0.61579;0.96995
0.61538;0.76371
0.61462;0.86272
0.61453;0.26386
0.61409;0.13418
0.61402;0.93001
0.61376;0.0806
0.61374;0.22936
0.61366;0.35021
0.6133;0.41519
0.61235;0.44471
0.612;0.05422
0.61073;0.50413
0.61056;0.97429
0.61036;0.66727
0.61034;0.75415
0.61026;0.80611
0.60924;0.30611
0.60849;0.94059
0.60846;0.83933
0.60763;0.35682
0.60763;0.11561
0.60759;0.64318
0.60751;0.19974
0.60709;0.89078
0.60619;0.76451
0.6057;0.9819
0.60534;0.55865
0.60498;0.53067
0.6047;0.61018
0.60442;0.95717
0.6044;0.24383
0.60427;0.43425
0.60371;0.66307
0.60365;0.00767
0.60323;0.1459
0.60272;0.39929
0.60227;0.80946
0.602;0.32092
0.60103;0.77082
0.60098;0.88723
0.60084;0.96107
0.60081;0.09105
0.60039;0.93476
0.60003;0.90709
0.5999;0.50278
0.59981;0.82889
0.59958;0.59076
0.59956;0.27971
0.59953;0.35957
0.59916;0.71538
0.59849;0.85939
0.59843;0.05181
0.59811;0.97875
0.59797;0.7791
0.59687;0.45079
0.59659;0.67715
0.59616;0.20027
0.59493;0.16171
0.59449;0.62756
0.59448;0.9587
0.59417;0.22777
0.594;0.8052
0.5939;0.8288
0.59348;0.73981
0.59347;0.32748
0.59335;0.90388
0.59313;0.56381
0.59271;0.92505
0.59267;0.86657
0.59242;0.47166
0.59127;0.70618
0.59126;0.29577
0.59106;0.08232
0.5905;0.02876
0.58979;0.34329
0.58933;0.13055
0.58843;0.18798
0.58837;0.73037
0.58807;0.528
0.58723;0.82445
0.58721;0.00227
0.58659;0.5669
0.58642;0.39148
0.58607;0.87831
0.58606;0.97356
0.5859;0.65038
0.58543;0.92083
0.58491;0.41566
0.58486;0.85317
0.58462;0.24186
0.58443;0.0955
0.58395;0.71245
0.58361;0.54176
0.58349;0.68871
0.58319;0.01491
0.58221;0.34943
0.58206;0.43903
0.58189;0.17164
0.58159;0.12049
0.58142;0.36491
0.5813;0.73699
0.5805;0.65303
0.58017;0
0.57915;0.50016
0.57894;0.05406
0.57842;0.91219
0.57803;0.79722
0.57754;0.45399
0.57737;0.38402
0.57731;0.30486
0.57728;0.93425
0.57687;0.97164
0.57682;0.52213
0.57654;0.19636
0.57643;0.60373
0.57636;0.09515
0.57536;0.85452
0.57493;0.00813
0.57416;0.12861
0.57315;0.55932
0.57301;0.73808
0.57267;0.27336
0.5725;0.06357
0.57184;0.33066
0.5718;0.47329
0.57174;0.41707
0.57169;0.23823
0.57168;0.90235
0.5712;0.14095
0.57072;0.65306
0.57059;0.97957
0.57045;0.09299
0.5704;0.20862
0.57004;0.44573
0.56978;0.76248
0.56963;0.82638
0.56933;0.62457
0.56919;0.0085
0.56907;0.956
0.56788;0.2949
0.56781;0.92919
0.56747;0.87213
0.56728;0.50143
0.5672;0.0479
0.56576;0.56316
0.56506;0.78004
0.56501;0.44734
0.56494;0.33935
0.56463;0.9782
0.56402;0.41226
0.5636;0.36912
0.56356;0.52162
0.56348;0.08681
0.56319;0.82375
0.56297;0.3067
0.56199;0.19816
0.56166;0.95445
0.56113;0.54374
0.5605;0.62876
0.56044;0.7005
0.5597;0.00607
0.55944;0.26565
0.55931;0.65764
0.55916;0.79235
0.55863;0.93595
0.55853;0.73207
0.55853;0.12865
0.55835;0.05938
0.5581;0.39451
0.55806;0.87014
0.55721;0.75241
0.55709;0.21444
0.557;0.97159
0.55648;0.10323
0.55538;0.31827
0.55477;0.66736
0.55388;0.63542
0.55341;0.82727
0.55233;0.4945
0.55209;0.13526
0.55199;0.03807
0.5514;0.79572
0.55118;0.07638
0.55091;0.19211
0.55085;0.10904
0.55042;0.5226
0.55039;0.98157
0.54983;0.23344
0.54974;0.89326
0.54969;0.77165
0.54961;0.45596
0.54961;0.95687
0.54926;0.56473
0.54873;0.61248
0.54863;0.85706
0.54841;0.40097
0.54791;0.06226
0.54777;0.26537
0.54777;0.93145
0.54745;0.32899
0.5472;0.73082
0.54692;0.47726
0.54674;0.68557
0.54656;0.15199
0.54588;0.81164
0.54516;0.29811
0.54437;0.96956
0.54408;0.98746
0.54344;0.42923
0.54313;0.22113
0.54308;0.77707
0.54279;0.5217
0.5424;0.36208
0.54186;0.85863
0.54157;0.9087
0.54132;0.6893
0.54115;0.02618
0.54061;0.81247
0.54018;0.06983
0.54012;0.49274
0.53991;0.17703
0.53978;0.26188
0.53941;0.58397
0.53915;0.71256
0.53855;0.14074
0.5381;0.96929
0.53643;0.86017
0.53573;0.2249
0.53555;0.98898
0.53466;0.8294
0.53464;0.77468
0.53448;0.41422
0.53436;0.91217
0.53425;0.29139
0.53407;0.44636
0.53391;0.32801
0.53334;0.59879
0.53291;0.37262
0.53214;0.13593
0.53211;0.08618
0.53192;0.87841
0.53145;0.96181
0.531;0.62946
0.53032;0.68294
0.53006;0.71854
0.52876;0.82472
0.52838;0.00158
0.52828;0.65759
0.52819;0.73387
0.5275;0.9408
0.5274;0.9866
0.52729;0.22383
0.52717;0.58485
0.52699;0.75984
0.52649;0.89248
0.52583;0.12514
0.52575;0.33387
0.52573;0.78538
0.52562;0.84655
0.52556;0.46942
0.5253;0.02724
0.52435;0.40515
0.52375;0.96431
0.52356;0.35278
0.52337;0.27898
0.5228;0.68968
0.52254;0.71737
0.52249;0.23722
0.52202;0.7945
0.52149;0.55324
0.52127;0.88505
0.52125;0.81692
0.52068;0.63416
0.52034;0.8523
0.52032;0.05856
0.5196;0.75241
0.51817;0.98227
0.51797;0.42824
0.51783;0.30485
0.5178;0.48668
0.51673;0.92224
0.51645;0.88185
0.51615;0.11373
0.51587;0.70665
0.51534;0.96093
0.51526;0.02509
0.5139;0.85818
0.51389;0.81467
0.5135;0.75128
0.51343;0.59815
0.51243;0.72611
0.5119;0.64118
0.51185;0.25921
0.51171;0.16271
0.51109;0.19126
0.51043;0.07245
0.51027;0.56703
0.50987;0.67627
0.50962;0.39011
0.50912;0.83287
0.50858;0.98008
0.50853;0.00806
0.50764;0.92886
0.50645;0.22725
0.5061;0.77254
0.50589;0.71721
0.50572;0.11678
0.50532;0.96204
0.50421;0.41032
0.50391;0.48604
0.50362;0.31227
0.5033;0.51468
0.50321;0.6241
0.50301;0.00077
0.50226;0.65914
0.50221;0.99222
0.50187;0.73016
0.50173;0.83377
0.50165;0.53346
0.50079;0.08745
0.50079;0.13083
0.50079;0.3884
0.50068;0.56585
0.49969;0.90164
0.49958;0.34548
0.49939;0.4172
0.4993;0.21036
0.49917;0.44274
0.49864;0.78464
0.49861;0.17071
0.49836;0.94779
0.49829;0.92517
0.49724;0.51881
0.49714;0.02323
0.49689;0.05862
0.49601;0.29628
0.49549;0.99787
0.49494;0.71168
0.49467;0.67267
0.49463;0.88579
0.49402;0.2237
0.4937;0.62988
0.49326;0.76094
0.4912;0.48111
0.49117;0.7794
0.49075;0.01009
