Base_normalized;Atrial_Side_normalized
0.99643;0.95177
0.99569;0.85745
0.99231;0.73179
0.9914;0.80801
0.98936;0.62474
0.98572;0.36531
0.98483;0.75506
0.97832;0.03226
0.97596;0.1893
0.97483;0.76801
0.96678;0.61538
0.96623;0.07662
0.96152;0.81879
0.95984;0.37161
0.95575;0.06814
0.95245;0.8869
0.95181;0.06034
0.94772;0.12161
0.94619;0.5515
0.94278;0.88225
0.94273;0.08358
0.94236;0.535
0.93451;0.09801
0.9325;0.8055
0.92577;0.14142
0.9242;0.77261
0.91655;0.76093
0.91442;0.11352
0.90956;0.79284
0.90783;0.0783
0.89958;0.08264
0.89932;0.7887
0.89737;0.6561
0.89453;0.01199
0.88975;0.76308
0.88742;0.07258
0.88481;0.47366
0.88396;0.86927
0.88079;0.03261
0.87776;0.36642
0.87321;0.8541
0.87158;0.46333
0.86998;0.0309
0.86328;0.87605
0.85788;0.03004
0.8567;0.63803
0.85252;0.48567
0.84801;0.03414
0.84658;0.87375
0.84258;0.2176
0.8397;0.02308
0.83632;0.20341
0.83489;0.93952
0.83318;0.01145
0.83188;0.5699
0.82849;0.79499
0.8276;0.00629
0.82164;0.83188
0.82096;0.65623
0.82029;0.0104
0.8161;0.81401
0.81282;0.06757
0.80822;0.85618
0.80506;0.05882
0.80183;0.29545
0.79684;0.10415
0.79248;0.74398
0.79013;0.04092
0.78548;0.85832
0.78517;0.17883
0.77875;0.02605
0.77579;0.42214
0.77313;0.86853
0.77212;0.20698
0.76602;0.16739
0.76319;0.82576
0.76308;0.02319
0.76019;0.31209
0.75659;0.75939
0.75378;0.32593
0.75249;0.0087
0.75003;0.50909
0.74766;0.06918
0.74465;0.54827
0.74373;0.917
0.74209;0.8026
0.74122;0.25948
0.7411;0.03524
0.7377;0.861
0.73282;0.07994
0.73237;0.43665
0.7318;0.67236
0.73168;0.9109
0.72715;0.18933
0.72668;0.70595
0.72319;0.25277
0.72117;0.04288
0.7194;0.60546
0.7186;0.88082
0.71673;0.16721
0.71467;0.71156
0.70978;0.27739
0.70783;0.60838
0.70637;0.03908
0.70567;0.41678
0.70508;0.64792
0.70356;0.20738
0.70266;0.701
0.70122;0.89777
0.69923;0.51921
0.6974;0.29429
0.69609;0.13584
0.69487;0.61716
0.69438;0.01663
0.69355;0.34729
0.69343;0.88504
0.68983;0.43153
0.68881;0.07975
0.68706;0.55769
0.68678;0.36602
0.68481;0.8625
0.68418;0
0.68321;0.59276
0.68162;0.09183
0.68146;0.67072
0.67948;0.01553
0.67827;0.41408
0.6765;0.54492
0.67626;0.93813
0.67497;0.1054
0.67268;0.01507
0.67186;0.45021
0.67037;0.12644
0.66654;0.49737
0.6653;0.78902
0.665;0.13845
0.66416;0.96513
0.6625;0.82894
0.66124;0.03319
0.65815;0.57475
0.65792;0.13226
0.65767;0.87625
0.65257;0.04989
0.65225;0.5954
0.65073;0.65797
0.65054;0.79454
0.65048;0.16876
0.64676;0.09687
0.64626;0.01475
0.64596;0.95839
0.64567;0.78898
0.64427;0.64007
0.64222;0.15561
0.63934;0.95556
0.63911;0.01867
0.63843;0.57733
0.63771;0.64269
0.63692;0.87336
0.63658;0.15505
0.63496;0.22474
0.6341;0.09136
0.6337;0.93982
0.63283;0.00248
0.63132;0.57851
0.62959;0.6495
0.62956;0.22302
0.62838;0.00684
0.62824;0.14525
0.62742;0.85536
0.62513;0.96069
0.62185;0
0.62143;0.17892
0.62079;0.59802
0.62042;0.05762
0.61696;0.94488
0.61657;0.54005
0.616;0.61212
0.61546;0.04672
0.61503;0.10789
0.61342;0.16228
0.61222;0.00046
0.61204;0.96187
0.61117;0.25564
0.61005;0.77507
0.60995;0.06541
0.60817;0.55519
0.60807;0.15888
0.6067;0.82277
0.6067;0.00929
0.60528;0.91038
0.60456;0.0605
0.60361;0.11398
0.60322;0.98139
0.60301;0.00437
0.60234;0.72575
0.60155;0.19585
0.6011;0.61371
0.60081;0.52839
0.6007;0.93661
0.59958;0.05891
0.59863;0.2996
0.59842;0.87246
0.59796;0.73337
0.59594;0.16535
0.59436;0.02103
0.59389;0.7493
0.59297;0.4847
0.59216;0.94269
0.5913;0.6123
0.59001;0.0065
0.58998;0.08511
0.5894;0.16159
0.58856;0.44143
0.58743;0.66302
0.5871;0.8626
0.58552;0.79388
0.5847;0.00439
0.58355;0.04438
0.58335;0.72698
0.582;0.59616
0.58087;0.95976
0.58052;0.67589
0.57987;0.18686
0.57939;0.76731
0.57832;0.0327
0.57801;0.13384
0.57667;0.26264
0.57629;0.85151
0.57622;0.60258
0.57446;0.75502
0.57419;0.01005
0.57409;0.68091
0.57375;0.42802
0.57353;0.13991
0.57153;0.65085
0.57037;0.22855
0.56995;0.05851
0.56883;0.58234
0.56866;0.131
0.56759;0.18883
0.56699;0.01337
0.56661;0.44623
0.5656;0.26084
0.5654;0.92218
0.56331;0.40377
0.56286;0.08573
0.56228;0.76985
0.5622;0.8239
0.55995;0.01909
0.55677;0.00638
0.55653;0.95959
0.55506;0.76958
0.55496;0.13971
0.55391;0.2232
0.55287;0.04852
0.55209;0.57546
0.55174;0.73539
0.55007;0.00858
0.54653;0.12348
0.5463;0.60107
0.54471;0.02001
0.54444;0.86094
0.54369;0.37834
0.54288;0.20765
0.54164;0.68357
0.54015;0.60555
0.53995;0.92105
0.53941;0.10178
0.5392;0.01576
0.53793;0.78933
0.53651;0.95934
0.53616;0.71477
0.53524;0.03545
0.53491;0.23818
0.53379;0.65663
0.53134;0.7292
0.53134;0.60923
0.53124;0.15765
0.53012;0.0297
0.52956;0.22851
0.52652;0.61865
0.52614;0.36069
0.52599;0.96676
0.5258;0.79099
0.52163;0.74147
0.5215;0.89167
0.52125;0.01519
0.52123;0.10642
0.52032;0.23063
0.52009;0.52753
0.51548;0.91179
