Base_normalized;Atrial_Side_normalized
0.11193;0.99398
0.08087;0.98669
0.10492;0.98376
0.01143;0.98324
0.59358;0.97929
0.20207;0.97875
0.12198;0.97773
0.58811;0.97718
0.13408;0.9768
0.08702;0.97654
0.18232;0.97445
0.19119;0.97387
0.09491;0.97314
0.21048;0.97213
0.05625;0.97146
0.16665;0.97077
0.2456;0.96873
0.28484;0.96811
0.06531;0.96621
0.91985;0.96514
0.60548;0.96372
0.36565;0.96168
0.17493;0.96081
0.26756;0.95813
0.90731;0.95486
0.03385;0.95467
0.07696;0.95197
0.14844;0.95178
0.2186;0.9481
0.61491;0.94759
0.63597;0.94728
0.21337;0.94675
0.48962;0.94667
0.11474;0.94508
0.4179;0.94491
0.43866;0.9448
0.01768;0.94216
0.12984;0.94181
0.2248;0.94172
0.27898;0.94045
0.37613;0.94033
0.38365;0.93998
0.24892;0.93799
0.92467;0.93747
0.5366;0.93744
0.37088;0.9373
0.62872;0.93721
0.01021;0.93523
0.29699;0.93423
0.60024;0.93403
0.25419;0.93392
0.1943;0.93391
0.56638;0.93304
0.18214;0.93271
0.49726;0.9319
0.07134;0.9306
0.75055;0.92956
0.23878;0.92912
0.7582;0.92908
0.10064;0.92835
0.3581;0.92675
0.54222;0.92657
0.44617;0.92633
0.40142;0.92628
0.6805;0.92585
0.5203;0.92585
0.69639;0.92384
0.93278;0.9231
0.0281;0.92133
0.45013;0.92115
0.33015;0.92104
0.70758;0.92051
0.50438;0.91959
0.04445;0.91954
0.28955;0.91916
0.05028;0.91868
0.67322;0.9186
0.76593;0.91605
0.62299;0.91584
0.30424;0.91359
0.52818;0.9125
0.60947;0.91216
0.31102;0.91175
0.73115;0.91035
0.27215;0.9095
0.51259;0.9094
0.15678;0.90903
0.58236;0.90798
0.31871;0.90744
0.39573;0.90559
0.68758;0.90455
0.47067;0.90436
0.54958;0.904
0.88312;0.90349
0.03966;0.90128
0.21224;0.90058
0.12655;0.9003
0.38964;0.89904
0.57049;0.89605
0.55807;0.89191
0.14452;0.89133
0.11989;0.89026
0.01821;0.88916
0.77568;0.88863
0.4661;0.88825
0.10867;0.88803
0.35094;0.88771
0.47424;0.88743
0.57529;0.88618
0.16775;0.88494
0.74203;0.8846
0.18785;0.88451
0.7198;0.88381
0.26544;0.88175
0.45813;0.87853
0.21845;0.87843
0.71524;0.87831
0.48108;0.87671
0.43631;0.87532
0.22467;0.87153
0.0853;0.87116
0.20516;0.87112
0.2555;0.86995
0.19295;0.8684
0.78317;0.86794
0.06048;0.86676
0.65172;0.86533
0.64515;0.86122
0.33331;0.86029
0.89957;0.85991
0.09543;0.85937
0.80479;0.85873
0.12791;0.85668
0.10018;0.85653
0.209;0.85623
0.19693;0.8554
0.02723;0.85514
0.79225;0.85467
0.34433;0.85417
0.43226;0.85297
0.66876;0.84887
0.88962;0.84833
0.61324;0.84723
0.32467;0.84384
0.22949;0.84293
0.50731;0.84198
0.42435;0.84042
0.96369;0.84
0.53991;0.83979
0.04289;0.83931
0.2429;0.83771
0.72602;0.83472
0.05582;0.82951
0.03823;0.82182
0.53073;0.82166
0.5621;0.82097
0.09235;0.82094
0.11954;0.82069
0.29446;0.82066
0.6582;0.8204
0.87888;0.82035
0.38069;0.82
