Base_normalized;Atrial_Side_normalized
0.9943;0.30525
0.99409;0.52775
0.9918;0.68863
0.98786;0.67858
0.98682;0.27654
0.98563;0.86604
0.98408;0.11498
0.98241;0.3756
0.98184;0.69915
0.98162;0.47194
0.98016;0.86809
0.9792;0.56651
0.97918;0.96066
0.97822;0.01047
0.9753;0.6682
0.9719;0.37038
0.97141;0.84912
0.97012;0.54268
0.96911;0.20123
0.96754;0.32959
0.96598;0.10966
0.96359;0.00363
0.96321;0.55302
0.96149;0.93354
0.95984;0.79382
0.95735;0.64777
0.95662;0.52889
0.95613;0.39126
0.9548;0.08034
0.95355;0.60985
0.95342;0.86462
0.95293;0.47647
0.94895;0.63061
0.94697;0.30775
0.94635;0.9519
0.94456;0.80129
0.94399;0.42189
0.94255;0.68153
0.94086;0.23501
0.93912;0.05891
0.93724;0.72939
0.93572;0.55582
0.93476;0.44212
0.93203;0.94254
0.93167;0.35595
0.93035;0.73072
0.93032;0.82183
0.92984;0.02111
0.92726;0.18588
0.92598;0.28297
0.92559;0.64901
0.92387;0.43608
0.92081;0.94112
0.92031;0.59378
0.9195;0.50747
0.91883;0.71691
0.91868;0.40435
0.91815;0.81839
0.91746;0.07994
0.91437;0.63787
0.91387;0.01345
0.91233;0.88392
0.91058;0.17346
0.90904;0.71403
0.90892;0.37828
0.908;0.26685
0.90571;0.10585
0.90561;0.85444
0.90509;0.93436
0.9038;0.58776
0.90198;0.18436
0.90173;0.41676
0.90107;0.33273
0.89942;0.00728
0.89904;0.78352
0.89647;0.95381
0.89467;0.69225
0.8944;0.50687
0.89374;0.0328
0.89312;0.79944
0.89184;0.43068
0.89141;0.85739
0.8905;0.12099
0.88989;0.56871
0.88911;0.00181
0.88419;0.64022
0.88292;0.24733
0.88135;0.70948
0.88133;0.0981
0.88131;0.37513
0.8801;0.92565
0.87894;0.5583
0.87866;0.48992
0.87855;0.03376
0.8752;0.78819
0.87253;0.83201
0.87234;0.37785
0.8719;0.63942
0.87164;0.29375
0.8714;0.69332
0.87096;0.08659
0.87066;0.47786
0.87063;0.5595
0.86749;0.84795
0.86746;0.1517
0.86455;0.01316
0.86363;0.74594
0.86324;0.2057
0.86095;0.94891
0.86084;0.83239
0.85814;0.88652
0.85803;0.38498
0.85511;0.67898
0.85358;0.12678
0.85355;0.47034
0.85187;0.37534
0.85167;0.25649
0.84943;0.59127
0.84816;0.0101
0.84645;0.87425
0.84579;0.32688
0.84411;0.92808
0.84359;0.07379
0.84349;0.63461
0.84273;0.46624
0.8412;0.23557
0.84114;0.73805
0.83809;0.53816
0.83556;0.63417
0.83476;0.30277
0.83468;0.21608
0.83421;0.39749
0.8334;0.93321
0.83305;0.00301
0.83288;0.13539
0.83238;0.47466
0.83107;0.83701
0.83074;0.67197
0.82844;0.30659
0.82807;0.747
0.8251;0.88272
0.82469;0.49192
0.8232;0.62289
0.82131;0.09405
0.82014;0.02735
0.81937;0.94556
0.81757;0.85787
0.81731;0.15682
0.81699;0.34456
0.81672;0.42813
0.81533;0.53567
0.81428;0.76028
0.81276;0.11599
0.81172;0.28504
0.81;0.8573
0.8097;0.60209
0.80831;0.01818
0.80696;0.20709
0.80683;0.92963
0.80595;0.38643
0.80545;0.68218
0.80366;0.13986
0.80322;0.47433
0.80321;0.25589
0.80174;0.82907
0.80166;0.57455
0.79948;0.94812
0.79829;0.72721
0.79763;0.03046
0.7964;0.27199
0.79522;0.90152
0.79491;0.39494
0.79295;0.56432
0.79181;0.12181
0.79156;0.65195
0.79143;0.82852
0.79096;0.93626
0.79087;0
0.78701;0.35466
0.78701;0.28811
0.78664;0.42656
0.78529;0.88645
0.78457;0.59824
0.78447;0.75098
0.78407;0.948
0.78296;0.04252
0.78198;0.69322
0.78088;0.22591
0.77933;0.31632
0.77908;0.8344
0.776;0.41055
0.77517;0.93162
0.7748;0.14481
0.77327;0.62819
0.77315;0.54407
0.77302;0.73314
0.77084;0.22343
0.77001;0.32561
0.76804;0.08699
0.76716;0.79298
0.76695;0.6656
0.76684;0
0.76627;0.9505
0.76607;0.42782
0.76424;0.29728
0.76046;0.12614
0.759;0.05016
0.75812;0.47376
0.75748;0.92311
0.75736;0.20828
0.7573;0.31657
0.75572;0.59786
0.75315;0.71575
0.75175;0.35564
0.75101;0.12002
0.74788;0
0.74634;0.93214
0.74543;0.79509
0.74532;0.21729
0.74274;0.30832
0.74162;0.53069
0.73677;0.72423
0.73641;0.9135
0.73602;0.01812
0.73533;0.44109
0.73527;0.21966
0.73498;0.55882
0.73429;0.09266
0.7298;0.33432
0.72772;0.88238
0.72679;0.14386
0.72483;0.72526
0.72409;0.41567
0.72145;0.30049
0.71662;0.20488
0.71564;0.74188
0.71486;0.09362
0.71338;0.00621
0.71286;0.93274
0.70918;0.41195
0.70575;0.20597
0.70508;0.54694
0.70447;0.10646
0.70341;0.2902
0.69822;0.67265
0.69792;0.93341
0.69679;0.01994
0.69588;0.5188
0.69544;0.21746
0.69256;0.69718
0.69246;0.36839
0.69053;0.46296
0.68828;0.08735
0.68605;0.00345
0.68445;0.91401
0.67823;0.22479
0.67819;0.45085
0.67782;0.70796
0.67572;0.09065
0.67541;0.00537
0.67355;0.32769
0.67241;0.88241
0.6716;0.50954
0.66706;0.41628
0.6639;0.08614
0.66377;0.91602
0.66308;0.00619
0.66164;0.67336
0.65879;0.24609
0.65546;0.86955
0.6552;0.73455
0.65494;0.51095
0.65069;0.07613
0.64998;0.2411
0.64894;0.4115
0.64291;0.79506
0.64108;0.91491
0.63931;0.16557
0.63894;0.5173
0.63695;0.0057
0.63231;0.68635
0.63108;0.47812
0.6305;0.1345
0.62991;0.87869
0.62467;0.35784
0.62453;0.64562
0.62135;0.78597
0.62107;0.91396
0.62092;0.10653
0.6206;0.00933
0.61401;0.30899
0.61316;0.56603
0.61261;0.01731
0.61241;0.89236
0.61054;0.42896
0.61036;0.20112
0.60879;0.11545
0.60562;0.74922
0.60232;0.34068
0.60221;0.62312
0.60107;0.91232
0.59776;0.2182
0.59569;0.07267
0.59339;0.49332
0.59143;0.94802
0.59076;0.28821
0.5872;0.64794
0.58352;0.79649
0.58219;0.40015
0.58098;0.29791
0.57998;0.12577
0.57998;0.03461
0.5784;0.90439
0.57789;0.52363
0.57396;0.58433
0.57345;0.04233
0.57272;0.40969
0.57236;0.76456
0.57164;0.66955
0.56916;0.24509
0.56702;0.90947
0.5637;0.057
0.56332;0.53168
0.56313;0.22302
0.56047;0.83203
0.55693;0.67331
0.55581;0.38776
0.55496;0.18774
0.55394;0.91698
0.55272;0.02117
0.54809;0.49028
0.54704;0.11272
0.54697;0.69997
0.54643;0.3017
0.5427;0.89278
0.54043;0.30052
0.54002;0.6701
0.53837;0.10867
0.53699;0
0.53059;0.47394
0.53016;0.88523
0.52921;0.11979
0.52878;0.58771
0.52784;0.30659
0.52388;0.03765
0.51754;0.00214
0.51735;0.42308
0.51714;0.92518
0.51702;0.60143
0.51676;0.23798
0.51148;0.06005
0.51027;0.31241
0.50964;0.87055
0.508;0.71786
0.5037;0.90866
0.50134;0.62349
0.50039;0.01122
0.49997;0.46126
0.49791;0.19512
0.49781;0.79913
0.49427;0.53508
0.48868;0.05527
0.48646;0.85272
0.48591;0.28483
0.48433;0.72406
0.48243;0.00525
0.47816;0.9224
0.47517;0.65375
0.47131;0.17314
0.47093;0.88806
0.47076;0.3611
0.46801;0.75846
0.4657;0.54448
0.46477;0.05107
0.46066;0.89443
0.45842;0.29948
0.4565;0.75134
0.45497;0.44649
0.45102;0
0.44679;0.30454
0.4443;0.53388
0.44303;0.83429
0.43871;0.11545
0.43355;0.34989
0.43213;0.56044
0.43187;0.84019
0.428;0.07308
0.42585;0.83636
0.42465;0.41389
0.42296;0.63611
0.41914;0.28873
0.41667;0.8611
0.41175;0.62837
0.41127;0.06151
0.40526;0.83775
0.4013;0.48714
0.39966;0.24259
0.39677;0.89579
0.39389;0.04649
0.38683;0.31061
0.3863;0.66582
0.38331;0.51109
0.37863;0.0324
0.37655;0.23477
0.37582;0.9201
0.3727;0.44273
0.36584;0.3241
0.36549;0.54287
0.36138;0.9418
0.36072;0.08895
0.35676;0.69662
0.35424;0.33425
0.35125;0.8591
0.35046;0.56675
0.34784;0.17039
0.34566;0.70695
0.34164;0.03381
0.34008;0.40458
0.33681;0.70774
0.33621;0.26584
0.33497;0.87238
0.32858;0.00156
0.3271;0.65757
0.32521;0.17772
0.31931;0.02502
0.31379;0.80429
0.31048;0.53398
0.30703;0.03269
0.30336;0.50547
0.30145;0.31473
0.29794;0.8652
0.29444;0.04626
0.29299;0.22699
0.28755;0.4306
0.28516;0.87725
0.28324;0.27376
0.27893;0.05282
0.27661;0.46643
0.27528;0.80798
0.27041;0.18942
0.26838;0.02695
0.26757;0.51887
0.26599;0.83686
0.26063;0.49304
0.26019;0.10675
0.2591;0.70426
0.25308;0.01459
0.25209;0.52379
0.25113;0.25043
0.24814;0.71538
0.24112;0.88215
0.24047;0.48845
0.23305;0.61152
0.22635;0.05801
0.22384;0.56618
0.21812;0.73622
0.21477;0.38346
0.2094;0.09049
0.20198;0.3729
0.20134;0.8666
0.20084;0.03341
0.19664;0.64357
0.18782;0.81525
0.18611;0.1619
0.17646;0.02462
0.17538;0.84328
0.16922;0.36282
0.16608;0.11613
0.1645;0.79785
0.15976;0.01752
0.15498;0.13417
0.15043;0.84507
0.14497;0.09907
0.14417;0.67741
0.1418;0.41753
0.13238;0.10066
0.12114;0.76154
0.12054;0.10966
0.11517;0.44175
0.10753;0.72356
0.10575;0.19663
0.10213;0.54108
0.10193;0.05099
0.09265;0.50386
0.08652;0.80707
0.08451;0.1364
0.07867;0.44052
