Base_normalized;Atrial_Side_normalized
0.99777;0.93731
0.99428;0.96876
0.99301;0.83376
0.99251;0.90805
0.9922;0.86344
0.98976;0.93956
0.98972;0.75659
0.98827;0.7788
0.98793;0.98183
0.98462;0.68549
0.98404;0.62275
0.98267;0.86653
0.98251;0.80721
0.98015;0.62453
0.98002;0.50771
0.97976;0.97133
0.9796;0.88148
0.9775;0.90381
0.97744;0.46871
0.97553;0.79989
0.97459;0.38584
0.97345;0.97937
0.9731;0.90626
0.97232;0.53484
0.97189;0.26892
0.9691;0.95048
0.96732;0.11828
0.96693;0.50849
0.96505;0.90904
0.96389;0.23547
0.96385;0.04567
0.96379;0.39184
0.96046;0.78857
0.96038;0.15599
0.96029;0.01927
0.96021;0.91224
0.95686;0.35124
0.95678;0.02371
0.95613;0.90133
0.95537;0.25034
0.95511;0.93255
0.95507;0.826
0.95442;0.15063
0.95343;0.10405
0.95325;0.75079
0.95317;0.92354
0.952;0.34188
0.95173;0.01008
0.95147;0.73062
0.95141;0.26443
0.95102;0.6572
0.95018;0.953
0.94986;0.86681
0.94929;0.32677
0.949;0.04573
0.94889;0.5961
0.94874;0.28836
0.9474;0.36647
0.94735;0.70702
0.94693;0.95199
0.94691;0.4485
0.94616;0.41606
0.9459;0.0145
0.94577;0.73871
0.9451;0.48976
0.94467;0.19606
0.94463;0.75735
0.94413;0.64346
0.94407;0.06259
0.94403;0.26606
0.94371;0.80861
0.94369;0.56033
0.94268;0.49813
0.94256;0.13205
0.94249;0.44452
0.94232;0.9768
0.94201;0.76648
0.94153;0.88653
0.94147;0.24596
0.94121;0.73285
0.94098;0.35757
0.94084;0.19699
0.94084;0.01489
0.9391;0.959
0.93871;0.47226
0.93859;0.28652
0.93821;0.41267
0.93758;0.01023
0.93748;0.13176
0.93722;0.52035
0.93694;0.9718
0.93675;0.22847
0.93608;0.63547
0.93596;0.69731
0.93563;0.75262
0.93544;0.65234
0.93522;0.05883
0.93487;0.27039
0.93369;0.11876
0.93303;0.95546
0.93277;0.51986
0.93268;0.73091
0.93237;0.21443
0.93214;0.08347
0.93203;0.91962
0.93192;0.98731
0.93152;0.25146
0.9314;0.02282
0.93078;0.74144
0.93011;0.68313
0.92991;0.52459
0.92981;0.65964
0.92944;0.80569
0.92931;0.76077
0.92891;0.39955
0.92852;0.63073
0.92765;0.20337
0.9275;0.1704
0.92689;0.50784
0.92629;0.46434
0.92619;0.26762
0.9258;0.84134
0.92546;0.06048
0.92514;0.23248
0.92477;0.00146
0.92452;0.46983
0.92441;0.56289
0.92429;0.02522
0.92423;0.3947
0.9232;0.66605
0.92313;0.7254
0.92303;0.11868
0.9225;0.86982
0.92249;0.26166
0.92216;0.61588
0.92211;0.19203
0.9219;0.77022
0.92172;0.55319
