Base_normalized;Atrial_Side_normalized
0.99516;0.60819
0.98981;0.40972
0.98397;0.29763
0.98203;0.04594
0.98012;0.6161
0.97322;0.4401
0.97304;0.06445
0.96858;0.14214
0.96765;0.73263
0.96744;0.43275
0.96243;0.13425
0.95946;0.52306
0.95447;0.12821
0.95228;0.78856
0.94865;0.51595
0.94566;0.8069
0.93815;0.01032
0.93658;0.73937
0.93613;0.20614
0.93006;0.05458
0.92857;0.31944
0.92452;0.73171
0.91891;0.02048
0.91489;0.63292
0.91164;0.04621
0.90848;0.65926
0.9031;0.79487
0.90258;0.01998
0.89781;0.25792
0.89503;0.67995
0.89423;0.01484
0.88894;0.67752
0.88757;0.19006
0.8826;0.71713
0.88068;0.14145
0.87519;0.5483
0.87234;0
0.86912;0.63247
0.86282;0.74152
0.85974;0.02145
0.85755;0.68422
0.85528;0.36562
0.85086;0.01411
0.84957;0.84228
0.8433;0.3041
0.84184;0.8317
0.83525;0.82163
0.83405;0.02464
0.8312;0.36958
0.8283;0.88744
0.82768;0.505
0.82755;0.0025
0.82138;0
0.81936;0.67604
0.81711;0.35826
0.8139;0.06257
0.81217;0.56832
0.80807;0.9239
0.80529;0.08384
0.8048;0.637
0.79972;0.76474
0.79774;0.04256
0.79514;0.17511
0.79149;0.47928
0.7906;0.01102
0.7866;0.62769
0.78647;0.25049
0.78498;0.12834
0.78471;0.00469
0.78033;0.67525
0.77864;0.03896
0.77707;0.87937
0.77596;0.31957
0.7725;0.44676
0.77179;0.00482
0.77002;0.6929
0.76944;0.8518
0.76725;0.05075
0.76502;0.92424
0.76496;0.33275
0.76359;0.76574
0.76064;0.24847
0.75962;0.02116
0.75401;0.82797
0.75083;0.44447
0.75;0.09823
0.74899;0.20907
0.74836;0.54404
0.74524;0.85221
0.74509;0.62042
0.74482;0.39799
0.74412;0.03085
0.74015;0.45164
0.74003;0.71223
0.73966;0.20114
0.73748;0.03584
0.7374;0.843
0.73406;0.47751
0.73113;0.33708
0.73081;0.03514
0.73006;0.80521
0.72343;0.65883
0.72317;0.84311
0.71863;0.08389
0.71728;0.8997
0.71626;0.79515
0.71342;0.2209
0.71329;0.02532
0.71151;0.54096
0.7113;0.35809
0.71106;0.8454
0.70864;0.18501
0.70824;0.05511
0.70649;0.46807
0.70648;0.89216
0.70315;0.73692
0.70228;0.05431
0.70135;0.33208
0.70077;0.45949
0.69749;0.01042
0.69746;0.10846
0.69611;0.61912
0.69545;0.8672
0.69482;0.49942
0.69386;0.34254
0.69207;0.05031
0.69144;0.6779
0.68387;0.92122
0.68365;0.39345
0.68308;0.67592
0.68284;0.02205
0.67926;0.37028
0.67799;0.85452
0.67702;0.52322
0.67662;0.03192
0.67417;0.23451
0.67415;0.57949
0.67165;0.89332
0.67043;0.49069
0.66979;0.66431
0.66772;0.77943
0.66442;0.05019
0.66391;0.93398
0.66325;0.23513
0.66212;0.43209
0.65893;0.27532
0.65751;0.53933
0.65749;0.04977
0.65586;0.13777
0.65465;0.44599
0.65461;0.66298
0.65198;0.03709
0.64846;0.07637
0.64714;0.90214
0.6454;0.64631
0.64217;0.03696
0.64092;0.76455
0.63915;0.26733
0.63798;0.35703
0.6372;0.04317
0.63345;0.76066
0.63298;0.05472
0.63105;0.92207
0.6307;0.30189
0.63034;0.67767
0.63015;0.16604
0.62712;0.03889
0.62429;0.38835
0.62337;0.91233
0.62293;0.27833
0.61681;0.04424
0.61059;0.11299
0.61019;0.91192
0.6073;0.35683
0.60716;0.22786
0.60483;0.92004
0.60235;0.26786
0.60218;0.58085
0.60118;0.09359
0.59904;0.81268
0.59557;0.16482
0.59491;0.32102
0.59482;0.06229
0.59456;0.91037
0.59255;0.54082
0.59016;0.2415
0.58948;0.46429
0.58796;0.72424
0.58723;0.03893
0.58707;0.85107
0.58399;0.14167
0.58162;0.82843
0.58031;0.36418
0.57835;0.24911
0.57764;0.13379
0.57407;0.06487
0.57339;0.62441
0.57221;0.29153
0.57216;0.88946
0.57148;0.411
0.56894;0.95257
0.56761;0.72198
0.56624;0.13344
0.56493;0.41917
0.56259;0.04042
0.56193;0.28025
0.56049;0.47233
0.56008;0.163
0.55791;0.91325
0.55694;0.05536
0.55573;0.46617
0.55471;0.6994
0.55456;0.30917
0.55419;0.81299
0.55277;0.57466
0.55271;0.01507
0.55057;0.1282
0.54835;0.51351
0.54772;0.04625
0.54264;0.62997
0.54224;0.08836
0.53933;0.83916
0.53798;0.0265
0.53494;0.20426
0.53482;0.6901
0.53378;0.84976
0.52975;0.71627
0.52863;0.55186
0.5286;0.07717
0.52839;0.92443
0.5235;0.82701
0.52255;0.68722
0.5199;0.02855
0.51923;0.1776
0.51807;0.11008
0.51774;0.91534
0.51733;0.37656
0.51714;0.53812
0.5132;0.02837
0.51193;0.70456
0.51108;0.25415
0.51061;0.91566
0.50769;0.6536
0.50739;0.76515
0.50726;0.50658
0.50492;0.13177
0.50227;0.89168
0.50157;0.27445
0.5013;0.58658
0.50007;0.04778
0.49832;0.41765
0.49512;0.91893
0.49476;0.28723
0.4938;0.68557
0.49091;0.07488
0.48557;0.85844
0.48252;0.52452
0.48216;0.03638
0.4817;0.22162
0.48025;0.77345
0.4798;0.88761
0.47611;0.38838
0.4761;0.52604
0.47552;0.05096
0.47297;0.12778
0.46833;0.7093
0.4683;0.85979
0.46633;0.46419
0.4661;0.29005
0.46602;0.1519
0.46261;0.56167
0.45975;0.05645
0.45964;0.79277
0.45529;0.48838
0.45325;0.86389
0.45098;0.32762
0.45008;0.13359
0.44757;0.00336
0.44615;0.24117
0.44281;0.07391
0.44128;0.39739
0.43992;0.81496
0.43811;0.60276
0.43771;0.0107
0.43265;0.31378
0.4302;0.12152
0.42909;0.85132
0.42691;0.60134
0.42401;0.13429
0.42361;0.92719
0.42195;0.47769
0.42113;0.60406
0.41871;0.25957
0.41655;0.05323
0.41554;0.83528
0.41489;0.56947
0.41443;0.18748
0.4126;0.02684
0.41097;0.53003
0.4075;0.55882
0.40629;0.28272
0.40613;0.02027
0.40292;0.66448
0.40007;0.4945
0.39628;0.69044
0.38532;0.11493
0.38301;0.7509
0.37628;0.33549
0.37607;0.77647
0.37509;0.08457
0.36818;0.46083
0.36735;0.11291
0.36681;0.77974
0.36132;0.12206
0.36125;0.59967
0.3604;0.80769
0.35864;0.33483
0.35462;0.06191
0.3543;0.71404
0.35078;0.80228
0.3484;0.10794
0.3432;0.42723
0.34224;0.81021
0.33503;0.4777
0.33258;0.80786
0.33169;0.02976
0.3291;0.33203
0.3264;0.85335
0.32312;0.11486
0.32267;0.73181
0.32078;0.33483
0.31699;0.00143
0.31403;0.46638
0.3083;0.73463
0.30671;0.26554
0.30251;0.42356
0.30215;0.13515
0.29986;0.84245
0.29665;0.07187
0.29386;0.64603
0.29305;0.36011
0.29098;0.15391
0.28887;0.77313
0.28688;0.06061
0.28585;0.38384
0.28223;0.15892
0.28146;0.81655
0.27868;0.03232
0.27849;0.30749
0.27717;0.62987
0.27358;0.49495
0.27264;0.79478
0.2699;0.22446
0.26638;0.01257
0.26617;0.85844
0.26351;0.62074
0.26252;0.34762
0.25937;0.16596
0.25712;0.46082
0.25493;0.05419
0.25352;0.81712
0.25038;0.51905
0.24543;0.65957
0.24352;0.39731
0.2429;0.05019
0.2396;0.25651
0.23845;0.7267
0.23433;0.58128
0.23194;0.1952
0.22776;0.66184
0.22149;0.14282
0.22148;0.64024
0.21236;0.06655
0.20625;0.03393
0.20542;0.46317
0.19857;0.09024
0.19551;0.81267
0.19492;0.66179
0.19278;0.19116
0.19237;0.03348
0.19051;0.74699
0.18875;0.48327
0.18732;0.2979
0.18527;0.67348
0.18433;0.06091
0.18175;0.14214
0.18142;0.56778
0.17771;0.30518
0.17566;0.81007
0.17418;0.15449
0.17175;0.90528
0.17055;0.27273
0.16893;0.52569
0.16875;0.81881
0.16714;0.40511
0.1657;0.05005
0.16382;0.4641
0.16034;0.88298
0.15982;0.42124
0.15859;0.25284
0.15812;0.07826
0.15592;0.65594
0.15428;0.34789
0.15036;0.73682
0.14993;0.10253
0.14939;0.26728
0.14804;0.48052
0.14305;0.81164
0.14212;0.2718
0.14179;0.14603
0.14122;0.04998
0.13656;0.09493
0.13343;0.04866
0.13129;0.23978
0.12758;0.5874
0.1262;0.01838
0.12525;0.84366
0.12393;0.21338
0.11831;0.1249
0.11794;0.43546
0.11546;0.02656
0.11401;0.13115
0.11366;0.75305
0.11095;0.04377
0.1102;0.67677
0.10618;0.64986
0.10384;0.15772
0.09966;0.85364
0.09908;0.74332
0.09856;0.23414
0.09633;0.20043
0.0953;0.03834
0.09233;0.68127
0.09161;0.01519
0.09126;0.88015
0.09018;0.24953
0.08723;0.60435
0.08559;0.73848
0.08226;0.13344
0.08163;0.89695
0.0815;0.65573
0.07997;0.30303
0.07572;0.86541
0.07233;0.64051
0.07185;0.3282
0.06695;0.27864
0.06499;0.79246
0.0639;0.6756
0.0605;0.91378
0.05928;0.17059
0.05879;0.32868
0.05545;0.66897
0.05339;0.24378
0.05217;0.37881
0.05169;0.9185
0.04793;0.71166
0.0476;0.25654
0.04463;0.75903
0.04406;0.47934
0.04257;0.36965
0.04153;0.14204
0.04108;0.25866
0.03762;0.75618
0.03597;0.38616
0.03283;0.57765
0.03134;0.88141
0.03066;0.37925
0.03038;0.14807
0.03027;0.77921
0.02462;0.66564
0.0244;0.2317
0.02316;0.07696
0.02244;0.49625
0.02168;0.82637
0.02143;0.28292
0.01764;0.13479
0.01696;0.72439
0.01396;0.37786
0.01318;0.23159
0.01028;0.49419
0.00803;0.71034
0.00783;0.08538
0.00753;0.21497
0.00698;0.83455
0.00615;0.29649
0.00522;0.66233
0.00518;0.49694
0.00505;0.81698
0.00392;0.12321
0.0039;0.00313
0.00228;0.02094
0.00185;0.43953
0.00165;0.67004
0.0015;0.74208
0.00119;0.2114
0.00091;0.08736
0.00059;0.03454
0;0.0021
0;0.00359
